gvkey,conm,tic,sic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,COUNTY,GSECTOR,GGROUP,GIND,GSUBIND
003489,CONWOOD CORP,CWD.1,2100,P,01,LU,11498,22282,1962-01-31,1985-09-30,,30,3020,302030,30203010
003489,CONWOOD CORP,CWD.1,2100,C,00X,LU,11498,22282,1950-01-01,1962-01-30,,30,3020,302030,30203010
003491,BLOCKBUSTER ENMNT CORP,BV.2,7841,P,01,LC,27087,5789,1983-02-01,1994-09-29,Broward,25,2550,255040,25504040
003492,COOK ELECTRIC CO,CEE.3,3661,P,01,LU,42593,24621,1965-10-26,1976-12-31,,,,,
003493,COOK INTERNATIONAL INC,CKI.1,7340,C,01,LC,38666,24331,1968-01-31,1985-01-31,Palm Beach,,,,
003493,COOK INTERNATIONAL INC,CKI.1,7340,C,00X,LC,38666,24331,1963-01-01,1968-01-30,Palm Beach,,,,
003494,COOK PAINT & VARNISH,COK.,2851,P,01,LU,30875,23733,1962-07-02,1979-08-31,,,,,
003495,COOK UNITED INC,3COKU,5331,C,01,LU,41152,24515,1966-01-31,1987-11-24,,25,2550,255030,25503020
003496,COOKY'S STEAK PUBS INC,COPB.,5812,P,01,LU,27108,1060,1979-07-31,1983-04-29,Nassau,,,,
003496,COOKY'S STEAK PUBS INC,COPB.,5812,C,00X,LU,27108,1060,1973-10-01,1979-07-30,Nassau,,,,
003497,COOPER INDUSTRIES PLC,CBE,3640,P,01,LC,21979,20517,1962-01-31,E,,20,2010,201040,20104010
003498,COOPER-JARRETT INC,CJT.1,4210,C,01,LU,30883,23734,1963-12-31,1981-04-09,Morris,,,,
003499,COOPER LABORATORIES,COO.3,2835,P,01,LU,52388,25246,1971-05-03,1985-06-28,,35,3520,352020,35202010
003500,BERKSHIRE BANCORP INC-OLD,ZAPS.,6799,C,02,LU,87039,7585,1985-08-30,1998-10-31,New York,40,4020,402010,40201020
003500,BERKSHIRE BANCORP INC-OLD,ZAPS.,6799,C,00X,LU,87039,7585,1985-06-17,1985-08-29,New York,40,4020,402010,40201020
003501,COOPER RESOURCES & ENERGY,CPEN,3490,P,01,LU,27116,1082,1979-01-31,1984-11-30,,,,,
003502,COOPER TIRE & RUBBER CO,CTB,3011,P,01,LU,27430,20518,1962-01-31,2021-06-30,,25,2510,251010,25101020
003503,COOPER DEVELOPMENT CO,3COOV,2844,P,01,LU,27124,6261,1983-08-04,1996-01-16,,30,3030,303020,30302010
003504,COOPER COS INC (THE),COO,3851,P,01,LC,65541,5780,1983-01-21,E,,35,3510,351010,35101020
003505,MOLSON COORS BEVERAGE CO,TAP,2082,P,01,LC,59248,33,1975-06-12,E,,30,3020,302010,30201010
003505,MOLSON COORS BEVERAGE CO,TAP,2082,J,02,LC,90562,33,2005-02-09,E,,30,3020,302010,30201010
003506,COPELAND CORP,CRF.3,3585,P,01,LU,27342,23471,1962-01-31,1981-07-31,,,,,
003511,COPPER RANGE CO,CPX.1,3330,P,01,LU,23894,23244,1962-02-28,1977-05-31,Ontonagon,,,,
003511,COPPER RANGE CO,CPX.1,3330,C,00X,LU,23894,23244,1950-01-01,1962-02-27,Ontonagon,,,,
003512,COPPERWELD CORP,COS.1,3317,P,01,LU,21258,20520,1962-01-31,1990-08-31,,15,1510,151040,15104050
003512,COPPERWELD CORP,COS.1,3317,C,00X,LU,21258,20520,1950-01-01,1962-01-30,,15,1510,151040,15104050
003513,CORADIAN CORP,CDIN.,7385,C,01,LU,62826,25699,1981-06-18,1990-09-28,,20,2020,202010,20201030
003515,INTELLIGENT COMM ENTR -OLD,ICMC.1,7372,C,00X,LU,27204,5730,1983-03-21,1983-03-30,,50,5010,501020,50102010
003515,INTELLIGENT COMM ENTR -OLD,ICMC.1,7372,P,01,LU,27204,5730,1983-03-31,1998-10-14,,50,5010,501020,50102010
003517,CORCO INC,CORC.1,2650,P,01,LU,27212,23462,1972-12-14,1977-05-31,,,,,
003518,CORCOM INC,CORC.,3679,P,01,LU,27239,1062,1980-05-22,1998-06-30,,45,4520,452050,45205020
003519,CORDATUM INC,CDAQE,7371,C,02,LC,27247,6622,1989-09-05,1990-07-27,,45,4510,451030,45103020
003519,CORDATUM INC,CDAQE,7371,C,02,LC,27247,6622,1983-11-25,1986-07-22,,45,4510,451030,45103020
003520,CORDIS CORP,CORD.,3841,P,01,LC,27255,1063,1972-12-14,1996-02-23,,35,3510,351010,35101020
003521,CORDON INTL,CD.4,3559,C,01,LU,44214,24741,1967-02-28,1978-03-29,,,,,
003522,CORDURA CORP,CDU.1,2741,P,01,LU,45997,24856,1968-04-02,1986-06-30,,25,2540,254010,25401040
003524,CORE INDUSTRIES INC,CRI.5,3490,P,01,LU,36150,20522,1962-07-02,1997-10-31,,20,2010,201060,20106020
003525,CORE LABORATORIES,CLB.3,1389,P,01,LU,52791,25277,1971-07-12,1984-01-31,,,,,
003526,CORENCO CORP,CCR.2,2070,P,01,LU,58392,25607,1972-12-14,1979-07-31,,,,,
003527,CORESTATES FINANCIAL CORP,CFL.1,6020,P,01,LU,27263,3552,1972-12-14,1998-04-30,,40,4010,401010,40101010
003528,CORINTHIAN BROADCASTING CORP,CRB.4,4832,P,01,LU,45268,24807,1967-10-25,1971-05-28,,,,,
003529,CORDYNE CORP,CDYN,5160,P,01,LU,27271,825,1981-07-31,1983-05-31,Clackamas,,,,
003530,CORNELIUS CO,L.2,3585,P,01,LU,58835,1065,1972-12-14,1982-02-26,,,,,
003532,CORNING INC,GLW,3357,P,01,LU,22293,20523,1962-01-31,E,,45,4520,452030,45203015
003532,CORNING INC,GLW,3357,C,00X,LU,22293,20523,1950-01-01,1962-01-30,,45,4520,452030,45203015
003534,CORNWALL EQUITIES LTD,CWLE,5311,P,01,LU,23659,1216,1962-01-31,1978-04-28,,,,,
003534,CORNWALL EQUITIES LTD,CWLE,5311,C,00X,LU,23659,1216,1949-07-01,1962-01-30,,,,,
003535,CORONET INDUSTRIES INC,CID.3,2510,P,01,LU,40432,24461,1964-04-21,1971-02-26,,,,,
003536,CORPORATE CAPITAL RES INC,CCRSE,8741,C,01,LU,27335,810,1981-05-01,1992-04-03,Ventura,20,2020,202010,20201060
003537,CORPORATE DATA SCIENCES INC,CODS,2631,C,01,LU,27343,6941,1984-03-21,1990-10-31,Duval,15,1510,151050,15105020
003540,CEL COMMUNICATIONS,3CELCE,7819,C,02,LU,86212,7578,1985-06-05,1994-08-18,,25,2540,254010,25401030
003542,CORROON & BLACK CORP,CBL.1,6411,P,01,LU,30912,20525,1962-07-02,1990-10-08,,40,4030,403010,40301010
003543,CORVUS SYSTEMS INC,CRVSQ,3576,C,01,LU,27370,5107,1981-10-02,1989-09-06,,45,4520,452020,45202020
003544,COSCO INC,CSO.1,3089,P,01,LU,49445,25064,1969-10-31,1978-12-28,,,,,
003545,COSMETIC SCIENCES INC,COSSD,8082,P,01,LU,27386,5124,1981-09-24,1986-10-31,,35,3510,351020,35102010
003546,COSMETICALLY YOURS INC,CYRS.1,2844,P,01,LC,27394,23474,1972-12-14,1973-10-31,,,,,
003547,COSMO COMMUNICATIONS CORP,CSMO,3651,C,01,LU,27407,6001,1983-05-20,1996-03-05,,25,2520,252010,25201010
003548,COSMOPOLITAN CARE CORP,CCA.2,7363,P,01,LU,67205,25783,1984-10-05,1988-10-31,,20,2020,202010,20201040
003551,COTT CORP,CTT.1,2086,P,01,LC,54906,23739,1972-06-01,1978-12-28,,,,,
003554,COUNTRY MISS INC,CMIS,2300,P,01,LU,27458,970,1979-01-31,1981-01-30,,,,,
003555,COUNTRYWIDE FINANCIAL CORP,CFC.3,6162,P,01,LC,64565,796,1979-03-12,2008-06-30,,40,4010,401020,40102010
003556,COURIER CORP,CRRC,2732,P,01,LU,27474,1131,1972-12-14,2015-06-30,,20,2020,202010,20201010
003557,COURIER DISPATCH GROUP INC,CDGI,4210,P,01,LU,27482,6723,1983-12-15,1991-10-31,,20,2020,202010,20201030
003558,COURTAULDS PLC,COU,2800,P,90,LU,30947,20529,1962-07-02,1998-09-30,,15,1510,151010,15101010
003560,FURNISHINGS 2000 INC,3FURN.,5712,P,01,LU,27503,6662,1983-12-07,1989-07-31,San Diego,25,2550,255040,25504040
003561,COUSINS MORTGAGE & EQUITY,CUZ.1,6798,C,01,LU,51692,21405,1970-12-14,1979-03-30,,,,,
003562,COUSINS PROPERTIES INC,CUZ,6798,P,01,LC,27511,1072,1974-01-31,E,,60,6010,601040,60104010
003564,COVINGTON DEV GROUP INC,3COVTE,1531,C,01,LU,27538,1075,1973-01-31,1992-06-10,Orange,25,2520,252010,25201030
003564,COVINGTON DEV GROUP INC,3COVTE,1531,C,00X,LU,27538,1075,1973-01-01,1973-01-30,Orange,25,2520,252010,25201030
003565,COWLES BROADCASTING INC,CWL.3,4833,P,01,LU,64733,25729,1983-04-04,1985-01-31,Volusia,,,,
003566,COWLES COMMUNICATIONS,CWL.2,4833,P,01,LU,43190,24666,1966-05-10,1982-12-16,Volusia,,,,
003567,COX CABLE COMMUNICATIONS INC,CXC.,4841,P,01,LC,52134,25228,1971-03-31,1977-06-30,,,,,
003568,COX COMMUNICATIONS INC -OLD,COX.,4841,P,01,LU,40854,24490,1964-07-17,1985-09-30,De Kalb,25,2540,254010,25401020
003569,COX RESOURCES CORP,CXRC,1311,P,01,LU,27546,1225,1981-09-02,1985-04-30,,,,,
003570,CRACKER BARREL OLD CTRY STOR,CBRL,5812,P,01,LC,27562,5169,1981-11-05,E,,25,2530,253010,25301040
003571,CRADDOCK-TERRY SHOE CORP,CDCK,3140,P,01,LU,27589,815,1972-12-14,1986-04-30,,25,2520,252030,25203020
003572,CRAFT HOUSE CORP,CRFH.,3944,P,01,LU,27597,6526,1983-10-26,1988-03-31,,25,2520,252020,25202010
003574,CRAIG CORP,CRG.1,7830,P,01,LU,49496,20530,1969-11-05,2002-01-31,,25,2540,254010,25401030
003578,CRAMER ELECTRONICS INC,CRM.3,5065,P,01,LC,50868,25151,1970-07-08,1979-12-31,,,,,
003579,CRAMER INC,3CRMA,2522,P,01,LC,27610,1125,1981-01-06,1988-05-26,,20,2020,202010,20201060
003580,CRANE CO,CR,3490,P,01,LC,20204,20531,1962-01-31,2023-04-03,,20,2010,201060,20106020
003580,CRANE CO,CR,3490,P,01,LC,23744,59505,2023-04-04,E,,20,2010,201060,20106020
003580,CRANE CO,CR,3490,C,00X,LC,20204,20531,1950-01-01,1962-01-30,,20,2010,201060,20106020
003581,CRAWFORD & CO,CRD.A,6411,J,02,LC,76274,1100,2004-07-01,2017-12-31,,40,4030,403010,40301010
003581,CRAWFORD & CO,CRD.A,6411,P,02,LC,76274,1100,2018-01-01,E,,40,4030,403010,40301010
003581,CRAWFORD & CO,CRD.A,6411,J,02,LC,76274,1100,1990-08-01,1994-04-30,,40,4030,403010,40301010
003581,CRAWFORD & CO,CRD.A,6411,P,01,LC,27618,1100,1972-12-14,1994-04-30,,40,4030,403010,40301010
003581,CRAWFORD & CO,CRD.A,6411,J,01,LC,27618,1100,1994-05-01,2004-06-30,,40,4030,403010,40301010
003581,CRAWFORD & CO,CRD.A,6411,P,01,LC,27618,1100,2004-07-01,2017-12-31,,40,4030,403010,40301010
003581,CRAWFORD & CO,CRD.A,6411,P,02,LC,76274,1100,1994-05-01,2004-06-30,,40,4030,403010,40301010
003581,CRAWFORD & CO,CRD.A,6411,J,01,LC,27618,1100,2018-01-01,E,,40,4030,403010,40301010
003583,CORDERO INDUSTRIES INC,CCCIE,7372,P,01,LU,27634,790,1983-10-28,1990-08-31,,45,4510,451030,45103010
003584,ASPYRA INC,APYI,7373,C,02,LC,27642,6413,1983-09-22,2009-11-13,,35,3510,351030,35103010
003585,CRAWFORD ENERGY INC,4229B,1381,P,01,LU,63124,1110,1981-04-28,1985-05-20,,,,,
003586,CRAY RESEARCH,CYR.1,3571,P,01,LC,62164,1101,1976-03-17,1996-06-28,,45,4520,452020,45202010
003587,CRAZY EDDIE INC,3CRZYQ,5731,P,01,LU,87063,7225,1984-09-13,1989-09-29,,25,2550,255040,25504020
003589,CREATIVE MGMT ASSOC INC,CMA.1,8741,P,01,LU,51385,25179,1970-10-21,1974-12-31,,,,,
003592,ONEMAIN HOLDINGS INC,OMF,6141,P,01,LC,14229,54593,2013-10-16,E,,40,4020,402020,40202010
003593,CREDITHRIFT FINANCIAL-OLD,CRD.2,6141,P,01,LU,49592,25074,1969-12-01,1982-02-26,Vanderburgh,,,,
003594,CREDO PETROLEUM CORP,CRED.1,1311,C,00X,LU,27677,1109,1979-11-01,1980-01-30,,10,1010,101020,10102020
003594,CREDO PETROLEUM CORP,CRED.1,1311,P,01,LU,27677,1109,1980-01-31,E,,10,1010,101020,10102020
003595,CREOLE PETROLEUM CORP,CRP.1,1311,P,01,LU,30971,23742,1962-07-02,1975-06-30,,,,,
003597,CRESCENT PETROLEUM CORP,CRES.,1311,P,01,LU,27685,23496,1980-07-28,1983-08-31,,,,,
003598,CREST-FOAM CORP,CFO.2,3086,P,01,LU,50649,25137,1970-05-27,1986-12-31,,15,1510,151010,15101010
003600,CRESTED CORP,3CBAG,1381,P,01,LU,27693,763,1980-10-13,1995-12-14,,15,1510,151040,15104020
003601,CRESTEK INC,CRST,3690,C,01,LU,43271,2327,1979-02-28,1990-12-27,,20,2010,201040,20104010
003602,CRESTMONT OIL & GAS CO,CRE.2,1311,C,01,LU,30998,23743,1966-01-31,1981-02-27,,,,,
003603,CRIME CONTROL INC,4326B,7380,C,01,LU,27706,5287,1982-01-29,1985-01-25,,20,2020,202010,20201030
003604,CRITON CORP,CN.2,3728,P,01,LU,60281,2226,1972-12-14,1982-09-30,King,,,,
003605,CROCKER NATIONAL CORP-OLD,CKN.1,6020,P,01,LU,51676,25198,1970-12-09,1985-05-24,,,,,
003607,CHEMTURA CORP,CHMT.1,2820,P,01,LC,38420,20532,1962-08-13,2009-03-18,,15,1510,151010,15101050
003607,CHEMTURA CORP,CHMT.1,2820,P,02,LC,38420,20532,2010-11-11,2017-04-28,,15,1510,151010,15101050
003608,CROMPTON CO INC,3CRMT,2211,C,01,LU,47634,24954,1969-02-03,1984-10-24,New York,25,2520,252030,25203030
003609,BRC HOLDINGS INC,BRCP,7370,P,01,LU,27722,1128,1977-04-15,1999-02-26,,20,2020,202010,20201030
003610,CROSS & TRECKER CORP,CTCO.1,3541,P,01,LC,27749,1170,1979-02-09,1991-10-31,,20,2010,201060,20106020
003611,CROSS CO,CROS.2,3540,P,01,LU,27757,1129,1972-12-14,1979-01-31,Macomb,,,,
003612,COSTA INC   -CL A,ATX,3950,P,01,LU,53575,20533,1971-11-16,2014-02-28,,25,2520,252030,25203010
003613,CROUSE-HINDS CO,CHI.1,3613,P,01,LU,43502,24691,1966-07-13,1981-05-29,Onondaga,,,,
003614,CROWLEY FOODS INC,CFDS,2020,P,01,LU,27765,843,1972-12-14,1983-01-31,,,,,
003615,CROWLEY MILNER & CO,CWYM,5311,C,01,LC,31026,20534,1962-07-02,1999-01-13,,25,2550,255030,25503010
003616,CROWN AUTO INC,CRNI,5531,C,00X,LU,27773,1527,1974-01-01,1978-01-30,,25,2550,255040,25504040
003616,CROWN AUTO INC,CRNI,5531,P,01,LU,27773,1527,1978-01-31,1988-05-03,,25,2550,255040,25504040
003617,CROWN BOOKS CORP,CRWN10,5940,P,01,LU,27800,1141,1983-08-09,1998-09-17,,25,2550,255040,25504040
003618,CROWN CENTRAL PETROL  -CL B,CNP.B,2911,N,02,LU,61532,20535,1982-01-29,1988-12-31,,10,1010,101020,10102030
003618,CROWN CENTRAL PETROL  -CL B,CNP.B,2911,P,01,LU,31042,20535,1982-01-29,1988-12-31,,10,1010,101020,10102030
003618,CROWN CENTRAL PETROL  -CL B,CNP.B,2911,J,01,LU,31042,20535,1989-01-01,2001-03-30,,10,1010,101020,10102030
003618,CROWN CENTRAL PETROL  -CL B,CNP.B,2911,C,02,LU,61532,20535,1980-01-07,1982-01-28,,10,1010,101020,10102030
003618,CROWN CENTRAL PETROL  -CL B,CNP.B,2911,P,02,LU,61532,20535,1989-01-01,2001-03-30,,10,1010,101020,10102030
003619,CROWN HOLDINGS INC,CCK,3411,C,00X,LU,17726,20537,1950-01-01,1962-01-30,,15,1510,151030,15103010
003619,CROWN HOLDINGS INC,CCK,3411,P,01,LU,17726,20537,1962-01-31,E,,15,1510,151030,15103010
003622,CROWN CRAFTS INC,CRWS,2211,P,01,LU,59256,20538,1972-12-14,E,,25,2520,252030,25203030
003624,CROWN INDUSTRIES,KRO.1,2430,P,01,LU,55714,25462,1972-10-17,1985-06-28,,,,,
003625,CROWN RESOURCES CORP,3CRCE,6795,P,01,LC,27802,6313,1983-08-24,2000-10-20,,15,1510,151040,15104030
003626,CROWN ROTATIONAL MOLD PRODS,RPPM,3089,P,01,LC,87119,7484,1985-04-03,1986-07-31,,20,2010,201020,20102010
003627,CROWN ZELLERBACH,FJ1,2621,P,01,LU,17128,22747,1962-01-31,1986-10-30,,15,1510,151050,15105020
003627,CROWN ZELLERBACH,FJ1,2621,C,00X,LU,17128,22747,1950-01-01,1962-01-30,,15,1510,151050,15105020
003628,CROWNAMERICA INC,3CRNA.,2200,P,01,LC,27829,1126,1972-12-14,1992-11-20,Whitfield,25,2520,252030,25203030
003631,CRUM & FORSTER,CMF.2,6411,P,01,LU,59520,1123,1972-12-14,1983-01-31,,,,,
003632,CRUMP COS INC,CRMP,6411,C,99X,LC,27837,1124,1986-08-30,1986-09-30,,40,4030,403010,40301010
003632,CRUMP COS INC,CRMP,6411,P,01,LC,27837,1124,1972-12-14,1986-08-29,,40,4030,403010,40301010
003633,CRUTCHER RESOURCES CORP,3CTRSE,1389,C,01,LU,58165,1139,1972-12-14,1986-07-08,,10,1010,101010,10101020
003634,CRYODYNAMICS INC,3CRYD,3590,C,01,LU,27845,7004,1984-04-26,1989-02-03,Union,20,2010,201060,20106020
003637,CRYSTAL GAS STORAGE INC,COR.2,1311,P,01,LU,31069,9306,1966-04-29,2000-01-31,,10,1010,101020,10102020
003639,CUBIC CORP,CUB.1,3578,P,01,LU,31077,20541,1966-04-29,2021-05-28,,20,2010,201010,20101010
003640,CUCOS INC,EESO,5812,C,00X,LU,27861,6709,1983-12-15,1983-12-29,,25,2530,253010,25301040
003640,CUCOS INC,EESO,5812,C,01,LU,27861,6709,1983-12-30,1999-02-02,,25,2530,253010,25301040
003641,CUDAHY CO,CUDH,2011,C,00X,LC,11543,22287,1949-11-01,1966-01-30,,,,,
003641,CUDAHY CO,CUDH,2011,C,01,LC,11543,22287,1966-01-31,1971-07-30,,,,,
003642,CULBRO CORP,CBO,2100,P,01,LC,12044,20542,1962-01-31,1997-08-29,,30,3020,302030,30203010
003642,CULBRO CORP,CBO,2100,C,00X,LC,12044,20542,1950-01-01,1962-01-30,,30,3020,302030,30203010
003643,CULLEN/FROST BANKERS INC,CFR,6020,P,01,LU,27888,840,1977-07-08,E,,40,4010,401010,40101015
003644,CULLIGAN INTERNATIONAL CO,CUL.1,3580,P,01,LU,45479,24822,1967-12-08,1978-05-31,,,,,
003645,CULLINET SOFTWARE INC,CUL.2,7372,P,01,LU,64207,1195,1978-08-02,1989-09-29,,45,4510,451030,45103010
003646,TOM THUMB FOOD & DRUGS INC,5623C,5411,P,02,LU,27896,1196,1972-12-14,1988-11-29,,30,3010,301010,30101030
003647,CULP INC,CULP,2211,P,01,LU,27909,6342,1983-08-30,E,,25,2520,252030,25203030
003648,CUMBERLAND GOLD GROUP,CRIG,1040,P,01,LU,27917,5798,1983-02-09,1988-12-30,,15,1510,151040,15104030
003649,CUMMINGS INC INTL SIGN SRVC,CUMS,3990,C,00X,LU,27925,1198,1973-01-01,1978-01-30,,,,,
003649,CUMMINGS INC INTL SIGN SRVC,CUMS,3990,P,01,LU,27925,1198,1978-01-31,1983-04-29,,,,,
003650,CUMMINS INC,CMI,3510,P,01,LU,41080,20543,1964-09-10,E,,20,2010,201060,20106010
003651,CUMO RESOURCES LTD,6397B,8742,P,01,LU,78270,26299,1982-11-01,1989-02-28,,20,2020,202010,20201030
003652,CUNEO PRESS INC,1141B,2750,C,00X,LC,21151,994,1973-02-01,1974-09-30,Cook,20,2020,202010,20201010
003653,CUNNINGHAM ART PRODUCTS INC,CNHM.,3990,P,01,LU,27960,1000,1972-12-14,1974-05-13,,,,,
003654,CUNNINGHAM DRUG STORES INC,CDD.1,5912,C,00X,LU,22226,23127,1949-10-01,1962-01-30,,,,,
003654,CUNNINGHAM DRUG STORES INC,CDD.1,5912,P,01,LU,22226,23127,1962-01-31,1981-02-27,,,,,
003656,CURRENCY TECHNOLOGY CORP,BUCK.,3578,P,01,LU,27968,1155,1981-09-21,1985-11-29,Cook,,,,
003657,CURTICE-BURNS FOOD  -CL A,CBI.3,2030,P,01,LU,59264,20545,1973-09-14,1994-11-30,Monroe,30,3020,302020,30202030
003658,CURTIS MATHES CORP,CM.1,3651,P,01,LU,44118,24734,1967-01-17,1977-07-29,,,,,
003659,CURTIS NOLL CORP,CNX.4,5010,P,01,LU,59694,1199,1972-12-14,1977-10-31,,,,,
003660,CURTIS PUBLISHING CO,CUR.2,2741,C,00X,LU,17515,22785,1950-01-01,1966-01-30,,,,,
003660,CURTIS PUBLISHING CO,CUR.2,2741,P,01,LU,17515,22785,1966-01-31,1968-05-17,,,,,
003662,CURTISS-WRIGHT CORP,CW,3728,N,02,LC,89223,20546,2001-11-06,2005-05-24,,20,2010,201010,20101010
003662,CURTISS-WRIGHT CORP,CW,3728,C,00X,LC,18091,20546,1950-01-01,1962-01-30,,20,2010,201010,20101010
003662,CURTISS-WRIGHT CORP,CW,3728,P,01,LC,18091,20546,1962-01-31,E,,20,2010,201010,20101010
003663,CUSHMAN ELECTRONICS INC,3CUSHC,3661,P,01,LU,27984,1203,1979-09-26,1989-01-31,Riverside,45,4520,452010,45201020
003665,CRESCOTT INC,CRCT.,6162,C,01,LC,27992,5987,1984-01-31,1990-05-31,New York,40,4020,402010,40201010
003665,CRESCOTT INC,CRCT.,6162,C,00X,LC,27992,5987,1984-01-01,1984-01-30,New York,40,4020,402010,40201010
003666,CUSTOMEDIX CORP,CUS.1,3843,P,02,LU,62527,1201,1973-01-31,1996-10-31,,35,3510,351010,35101010
003667,CUSTOM LABORATORIES INC,4380B,7330,P,01,LU,28004,931,1982-10-15,1985-06-28,Hennepin,,,,
003668,XO LOGIC INC,DTGP,9995,C,00X,LC,28012,1205,1973-07-01,1978-01-30,,20,2020,202010,20201030
003668,XO LOGIC INC,DTGP,9995,C,01,LC,88413,37909,2000-07-31,2000-08-23,,20,2020,202010,20201030
003668,XO LOGIC INC,DTGP,9995,C,01,LC,28012,1205,1978-01-31,1998-03-31,,20,2020,202010,20201030
003669,HOLDER INTERNATIONAL,5185B,3640,P,01,LU,28039,845,1972-12-14,1986-08-29,,20,2010,201040,20104010
003670,CUTLER-HAMMER INC,CH.3,3620,P,01,LC,16758,22714,1962-01-31,1978-12-31,,,,,
003670,CUTLER-HAMMER INC,CH.3,3620,C,00X,LC,16758,22714,1950-01-01,1962-01-30,,,,,
003671,CUTTER LABORATORIES INC-CL A,CLI.A,3841,P,01,LC,31093,23750,1962-07-02,1973-12-31,,,,,
003672,CYBERMATICS INC,6876B,2761,C,00X,LU,28055,1227,1973-04-01,1979-01-30,Union,20,2020,202010,20201010
003672,CYBERMATICS INC,6876B,2761,C,01,LU,28055,1227,1979-01-31,1989-12-29,Union,20,2020,202010,20201010
003673,COLORADO MEDTECH INC,CMED.1,3845,P,02,LU,28063,966,1983-07-08,2003-07-31,,35,3510,351010,35101010
003674,CYBERTEK CORP,CKCP.1,7372,P,01,LC,28071,7170,1984-08-08,1993-08-27,,45,4510,451030,45103010
003675,CYCLOPS CORP,CYL.1,3312,P,01,LU,20589,23011,1962-01-31,1987-06-30,,15,1510,151040,15104050
003675,CYCLOPS CORP,CYL.1,3312,C,00X,LU,20589,23011,1960-01-01,1962-01-30,,15,1510,151040,15104050
003676,CYCLOTRON CORP,4149B,3690,C,01,LU,28090,1228,1972-12-14,1983-05-20,,,,,
003677,CYMATICOLOR CORP,4038B,2761,P,01,LU,28098,1232,1981-01-13,1983-06-30,Middlesex,20,2020,202010,20201010
003680,CYPRUS MINES CORP,CYM.2,1000,P,01,LU,42657,24627,1965-11-15,1979-09-28,,,,,
003681,CYTOX CORP,CYTX.1,5160,P,01,LU,28135,1233,1980-12-19,1986-01-31,New York,,,,
003682,CYCLE OIL & GAS CORP,CYCL.,6792,P,01,LC,37787,1230,1981-04-20,1983-01-30,Harris,,,,
003683,CYCARE SYSTEMS INC,CYS.1,7374,P,01,LU,28143,5087,1981-09-23,1996-08-30,,20,2020,202010,20201020
003684,AXIOHM TRANSACTION SOLUTIONS,AXHM10,3577,P,01,LU,28151,7010,1984-06-29,1999-10-22,,45,4520,452020,45202020
003685,D A B INDUSTRIES INC,DABI,3714,P,01,LU,28170,1235,1978-01-31,1985-09-30,,25,2510,251010,25101010
003686,DBA SYSTEMS INC,DBAS,3812,P,01,LC,28178,1257,1980-10-16,1998-02-27,,20,2010,201010,20101010
003687,DCA DEVELOPMENT CORP,DVC.1,3250,P,01,LU,31114,23752,1966-01-31,1972-10-31,,,,,
003688,DCL INC,2919B,7377,P,01,LU,53022,25292,1971-08-16,1982-01-29,New York,,,,
003689,DISCOUNT CORP NY/DEL,DCY.1,6211,P,01,LU,28186,1269,1973-01-31,1993-08-31,,40,4020,402010,40201020
003689,DISCOUNT CORP NY/DEL,DCY.1,6211,C,00X,LU,28186,1269,1973-01-01,1973-01-30,,40,4020,402010,40201020
003690,D C TRADING & DEVELOPMENT CP,3DCTRE,6510,C,01,LU,31122,5854,1979-01-31,1986-09-30,Arlington,40,4040,404010,40401020
003690,D C TRADING & DEVELOPMENT CP,3DCTRE,6510,C,00X,LU,31122,5854,1974-01-01,1979-01-30,Arlington,40,4040,404010,40401020
003691,GT BIOPHARMA INC,GTBP,2836,C,01,LC,29744,1308,2021-02-11,E,,35,3520,352010,35201010
003691,GT BIOPHARMA INC,GTBP,2836,C,01,LC,29744,1308,1972-12-14,2001-05-16,,35,3520,352010,35201010
003693,DEP CORP,DEPCC,2844,J,03,LC,78220,6663,1992-12-15,1996-11-01,,30,3030,303020,30302010
003693,DEP CORP,DEPCC,2844,P,01,LC,28207,6663,1983-12-07,1992-11-30,,30,3030,303020,30302010
003693,DEP CORP,DEPCC,2844,C,01,LC,28207,6663,1992-12-01,1992-12-14,,30,3030,303020,30302010
003693,DEP CORP,DEPCC,2844,P,02,LC,28207,6663,1992-12-15,1998-09-30,,30,3030,303020,30302010
003695,DHJ INDUSTRIES INC,DHJ,2200,P,01,LU,50761,25144,1970-06-23,1975-01-24,,,,,
003696,DK INVESTORS INC,DKII.1,2300,C,01,LU,53911,25343,1972-01-11,1979-01-05,,,,,
003697,D'LITES OF AMERICA INC,DLITQ,5812,P,01,LU,87135,7234,1984-09-19,1986-09-30,Gwinnett,25,2530,253010,25301040
003698,DMH CORP,DMH.,3714,P,01,LU,39861,24415,1966-01-31,1970-07-31,,,,,
003700,DMI FURNITURE INC,DMIF,2511,P,01,LU,28215,5576,1982-07-12,2003-10-31,,25,2520,252010,25201020
003701,DNA MEDICAL,DNAM,3841,P,01,LC,28223,5137,1981-10-26,1987-09-21,Salt Lake,35,3510,351010,35101010
003702,DNA PLANT TECHNOLOGY CORP,DNAP.,0100,P,01,LC,28231,6769,1984-01-13,1996-09-26,,30,3020,302020,30202010
003703,D O C OPTICS CORP,DOCO.1,5990,C,00X,LU,28250,1350,1973-01-01,1978-01-30,,25,2550,255040,25504040
003703,D O C OPTICS CORP,DOCO.1,5990,P,01,LU,28250,1350,1978-01-31,1992-06-30,,25,2550,255040,25504040
