gvkey,conm,tic,sic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,COUNTY,GSECTOR,GGROUP,GIND,GSUBIND
001045,AMERICAN AIRLINES GROUP INC,AAL,4512,C,00X,LC,21020,20010,1950-01-01,1962-01-30,,20,2030,203020,20302010
001045,AMERICAN AIRLINES GROUP INC,AAL,4512,P,01,LC,21020,20010,1962-01-31,2012-01-04,,20,2030,203020,20302010
001045,AMERICAN AIRLINES GROUP INC,AAL,4512,P,04,LC,21020,20010,2013-12-09,E,,20,2030,203020,20302010
001046,AMS/REALSTAR INC,4303B,7372,P,01,LU,10373,7023,1984-05-11,1985-05-31,Adams,45,4510,451030,45103010
001047,ANEFCO INC,3050B,8711,C,01,LU,10381,3182,1981-08-12,1983-05-31,,20,2010,201030,20103010
001049,APF ELECTRONICS,2952B,5040,P,01,LU,10400,304,1976-01-30,1982-05-26,New York,25,2550,255010,25501010
001050,CECO ENVIRONMENTAL CORP,CECO,3564,P,01,LC,11499,176,1980-11-28,E,,20,2010,201060,20106020
001051,API INSTRUMENTS CO,APW.1,3670,C,00X,LC,41961,24580,1968-01-02,1968-12-31,,,,,
001052,API TRUST,APITS,6798,C,00X,LU,10402,311,1973-04-01,1979-01-30,New York,,,,
001052,API TRUST,APITS,6798,P,01,LU,10402,311,1979-01-31,1983-03-31,New York,,,,
001054,ASK GROUP INC,ASKI,7373,P,01,LU,10429,5118,1981-10-01,1994-09-30,,45,4510,451030,45103020
001055,AST RESEARCH INC,ASTA.,3571,P,01,LU,85041,7357,1984-12-20,1997-08-29,,45,4520,452020,45202010
001056,AEROFLEX INC,ARXX,3825,C,00X,LC,62500,336,1973-07-01,1977-06-29,,45,4520,452030,45203010
001056,AEROFLEX INC,ARXX,3825,P,01,LC,62500,336,1977-06-30,2007-08-15,,45,4520,452030,45203010
001057,ABEX CORP,8892A,3743,C,00X,LC,10030,22160,1964-01-01,1967-01-30,,,,,
001057,ABEX CORP,8892A,3743,P,01,LC,10030,22160,1967-01-31,1967-12-29,,,,,
001058,APL CORP,4328B,3089,C,01,LU,28636,23557,1962-07-02,1986-10-30,,20,2010,201020,20102010
001059,A P S INC,APS.1,5010,P,01,LU,58958,25619,1972-12-14,1981-03-31,Harris,,,,
001061,ARI INDUSTRIES INC,ARII.,3823,C,00X,LU,10445,340,1973-04-01,1979-01-30,,,,,
001061,ARI INDUSTRIES INC,ARII.,3823,P,01,LU,10445,340,1979-01-31,1980-10-31,,,,,
001062,ASA GOLD AND PRECIOUS METALS,ASA,6799,P,01,LU,26649,20015,1965-01-29,E,,40,4020,402030,40203010
001065,AT&E CORP,7200B,3663,C,01,LU,71239,5894,1983-04-04,1991-07-19,San Francisco,45,4520,452010,45201020
001066,ATE ENTERPRISES INC,ATEE,8741,C,01,LC,55335,1911,1984-01-31,1986-12-04,Hamilton,20,2020,202010,20201060
001067,ATI INC,ATQ.1,7389,P,01,LC,28652,23559,1966-01-31,1984-01-30,Fairfield,20,2020,202010,20201030
001067,ATI INC,ATQ.1,7389,C,00X,LC,28652,23559,1962-07-02,1966-01-30,Fairfield,20,2020,202010,20201030
001069,ATV SYSTEMS INC,ATVSQ,3578,C,01,LU,10480,6509,1983-10-18,1984-10-16,Orange,,,,
001070,AVC CORP,AVC.1,3714,P,01,LC,21549,23079,1968-01-31,1981-04-30,,,,,
001070,AVC CORP,AVC.1,3714,C,00X,LC,21549,23079,1968-01-01,1968-01-30,,,,,
001072,AVX CORP,AVX.1,3670,C,01,LC,56899,25544,1973-03-30,1990-01-18,,45,4520,452030,45203015
001072,AVX CORP,AVX.1,3670,C,00X,LC,56899,25544,1973-01-01,1973-03-29,,45,4520,452030,45203015
001072,AVX CORP,AVX.1,3670,C,01,LC,81912,30930,1995-08-15,2020-03-27,,45,4520,452030,45203015
001073,AW COMPUTER SYSTEMS  -CL A,3AWCSA,7373,C,01,LU,10496,422,1981-03-09,1996-08-28,,45,4510,451030,45103020
001074,AZL RESOURCES INC,AZL.,3523,P,01,LU,49648,25078,1969-12-04,1982-12-31,Maricopa,,,,
001075,PINNACLE WEST CAPITAL CORP,PNW,4911,P,01,LU,27991,21409,1962-01-31,E,,55,5510,551010,55101010
001076,PROG HOLDINGS INC,PRG,6141,J,01,LC,10517,5674,1993-01-01,2010-11-30,,40,4020,402020,40202010
001076,PROG HOLDINGS INC,PRG,6141,P,01,LC,10517,5674,2010-12-01,E,,40,4020,402020,40202010
001076,PROG HOLDINGS INC,PRG,6141,N,02,LC,78049,5674,1992-11-03,1992-12-31,,40,4020,402020,40202010
001076,PROG HOLDINGS INC,PRG,6141,J,02,LC,78049,5674,2010-12-01,2010-12-10,,40,4020,402020,40202010
001076,PROG HOLDINGS INC,PRG,6141,P,01,LC,10517,5674,1982-11-04,1992-12-31,,40,4020,402020,40202010
001076,PROG HOLDINGS INC,PRG,6141,P,02,LC,78049,5674,1993-01-01,2010-11-30,,40,4020,402020,40202010
001077,AARONSON BROTHERS STORES CP,ARON.,5311,C,00X,LU,10525,346,1973-07-01,1979-01-30,El Paso,,,,
001077,AARONSON BROTHERS STORES CP,ARON.,5311,P,01,LU,10525,346,1979-01-31,1980-09-30,El Paso,,,,
001078,ABBOTT LABORATORIES,ABT,3845,C,00X,LC,20482,20017,1950-01-01,1962-01-30,,35,3510,351010,35101010
001078,ABBOTT LABORATORIES,ABT,3845,P,01,LC,20482,20017,1962-01-31,E,,35,3510,351010,35101010
001079,ARP CORP,ARPC.,3060,P,01,LC,10541,349,1969-01-31,1976-09-30,,,,,
001079,ARP CORP,ARPC.,3060,C,00X,LC,10541,349,1961-01-01,1969-01-30,,,,,
001080,ABERDEEN PETROLEUM CORP-CL A,APT.A,6792,C,00X,LU,28660,23561,1962-10-01,1963-12-30,,,,,
001080,ABERDEEN PETROLEUM CORP-CL A,APT.A,6792,P,01,LU,28660,23561,1963-12-31,1976-04-30,,,,,
001081,ABITIBI CONSOLIDATED INC,ABY.2,2621,P,01,LC,10560,20019,1987-07-16,2007-10-26,,15,1510,151050,15105020
001082,SERVIDYNE INC,SERV.1,8700,P,01,LC,10568,5580,1982-06-29,2011-08-31,,20,2020,202010,20201050
001083,ACA JOE INC,3ACAJC,5600,C,01,LC,44231,4531,1981-08-31,1988-04-06,San Mateo,25,2550,255040,25504010
001083,ACA JOE INC,3ACAJC,5600,C,01,LC,44231,4531,1977-12-30,1980-01-31,San Mateo,25,2550,255040,25504010
001086,AMETECH INC,3AMETE,4955,C,01,LU,76876,10835,1991-06-28,1994-02-23,,20,2020,202010,20201050
001087,ACADIA PETROLEUM CORP,ACAD.,1311,P,01,LU,10584,30,1981-03-03,1983-11-30,Denver,,,,
001088,ACAPULCO RESTAURANTS,ALAR.1,5812,P,01,LC,10592,149,1978-09-21,1986-02-05,,25,2530,253010,25301040
001089,ACCELERATORS INC,ACEL.1,3690,P,01,LC,10613,22208,1972-12-14,1979-11-30,,,,,
001091,ACCO WORLD CORP,ACO.2,2780,P,01,LU,64688,5803,1983-02-11,1987-07-31,Cook,20,2020,202010,20201010
001092,ACCU TEST SYSTEMS INC,ACCUQ,1389,P,01,LU,10621,34,1981-08-13,1983-04-29,Harris,,,,
001093,ACCURAY CORP,ACRA.,3823,P,01,LC,10640,50,1972-12-14,1987-03-31,,45,4520,452030,45203010
001094,ACETO CORP,ACETQ,5160,P,01,LC,10656,37,1972-12-14,2019-10-02,,35,3510,351020,35102010
001095,ACKERLEY GROUP INC,AK,4833,P,01,LC,10123,9754,1989-09-07,2002-06-14,,25,2540,254010,25401020
001097,ACMAT CORP  -CL A,ACMTA,6351,N,01,LC,10664,47,1994-10-01,1995-09-01,,40,4030,403010,40301040
001097,ACMAT CORP  -CL A,ACMTA,6351,P,01,LC,10664,47,1972-12-14,1994-09-30,,40,4030,403010,40301040
001097,ACMAT CORP  -CL A,ACMTA,6351,P,02,LC,11647,47,1994-10-01,2004-12-03,,40,4030,403010,40301040
001097,ACMAT CORP  -CL A,ACMTA,6351,J,02,LC,11647,47,1987-09-30,1994-09-30,,40,4030,403010,40301040
001098,ACME-CLEVELAND CORP,AMT.1,3661,C,01,LC,10057,20020,1968-01-01,1996-07-02,,45,4520,452010,45201020
001099,ACME ELECTRIC CORP,ACEE,3612,P,01,LC,63837,156,1972-12-14,2000-11-30,,20,2010,201040,20104010
001100,ACME GENERAL CORP,ACME.,3420,P,01,LC,10672,46,1972-12-14,1985-06-28,,,,,
